ax,ay,az
ax2,196,6978
504,212,7010
546,198,6962
476,204,7010
522,232,7000
470,218,6994
510,188,6962
532,222,6992
502,178,6994
480,204,6976
520,198,7006
540,208,7032
478,210,6942
486,208,7028
518,190,6990
464,206,7006
476,208,7010
474,180,7044
466,176,6962
514,200,6692
926,116,5644
912,302,6532
530,182,6686
494,150,7074
538,36,7212
316,-18,6966
412,-44,7336
378,-74,7352
360,-46,7510
544,-58,7600
516,54,7742
398,50,7488
436,188,7274
426,194,7064
426,270,6930
452,258,6874
454,326,6866
456,256,6926
466,232,7044
498,196,7026
492,204,7058
470,186,6964
490,202,6968
542,212,6998
510,190,7022
550,232,6994
538,160,7014
554,218,6960
530,246,6936
540,208,7032
500,244,6954
524,196,6980
454,140,7004
464,244,6950
506,190,7000
480,216,6996
480,220,7000
490,200,6914
526,188,6982
498,200,7042
444,198,7024
490,208,7012
486,188,6986
428,184,6990
466,222,6990
492,218,7038
498,224,7008
500,192,7042
510,210,7016
456,186,6962
498,242,6976
530,240,6962
524,208,6980
516,212,6956
486,208,6944
524,174,6978
460,186,7018
594,170,7054
412,140,6932
426,210,7016
542,216,6998
434,252,7014
436,222,7008
526,194,7036
476,206,7054
462,224,7050
542,190,7072
464,250,6990
500,176,6970
440,206,6964
298,304,6854
380,220,6906
726,218,7022
546,152,7002
604,174,7004
606,232,7136
350,210,7032
466,158,6958
414,270,7576
662,212,7572
658,28,6758
524,2,6608
246,-26,7420
580,-68,7758
302,-88,7372
156,-180,7384
184,-48,7490
450,-60,7602
670,-44,7524
406,-70,7390
240,-164,7452
320,-304,7432
442,-116,7266
584,-48,7396
684,-208,7388
778,-314,7322
886,-304,7200
662,-388,7134
902,-298,6928
1070,-248,7042
1222,-296,6884
1334,-352,6990
1366,-464,7010
1434,-684,7016
1554,-600,7030
1622,-610,6950
1836,-802,6872
1994,-768,7044
2152,-966,6954
2420,-952,7128
2460,-1056,6906
2544,-1074,6690
2454,-986,6776
2580,-1026,6762
2808,-1194,6520
2840,-1110,6380
2898,-1050,6182
2934,-1070,6186
2894,-1172,6044
3116,-1366,6146
3252,-1638,5840
3740,-1492,5904
3870,-1614,5806
3862,-1692,5848
4010,-1764,5646
4160,-1890,5474
4294,-1978,5462
4244,-2206,5506
4472,-2170,5352
4562,-2140,5282
4564,-2290,4944
4492,-2280,5126
4306,-2348,5002
4482,-2500,4880
4788,-2390,4872
4856,-2484,4908
4870,-2538,4552
4648,-2666,4636
4750,-2552,4830
4904,-2660,4526
5106,-2628,4684
5246,-2740,4630
5182,-2716,4694
5124,-2658,4668
5052,-2614,4754
5002,-2610,4684
5012,-2552,4700
5072,-2574,4466
5092,-2578,4542
5128,-2450,4566
4904,-2386,4304
4798,-2354,3934
4762,-2372,3570
5088,-1878,3096
6234,-1758,2818
4322,-2254,1388
1562,482,-604
-552,-126,-1428
184,-292,-1540
1030,-460,-1840
944,-1234,-3308
3244,-1742,-4136
5204,-1526,-4732
978,12654,3724
3702,3224,-2642
-2448,-3738,-3224
2252,-336,-2246
1336,-530,-2206
562,-366,-978
-11024,988,21936
-814,-806,-3016
1340,-1062,-828
1794,2052,13278
-1080,-952,6482
2450,1308,7174
548,530,7054
196,312,6738
466,492,7336
686,338,7364
526,390,7298
446,300,7082
482,310,7132
572,296,7050
592,374,6914
710,392,6972
654,246,6924
654,376,7032
668,338,6978
570,278,7046
662,334,6932
628,322,6992
622,266,6994
