ax,ay,az
1446,-1052,6766
1482,-1114,6902
1322,-1060,6864
1366,-1088,7002
1380,-1036,6830
1474,-1026,6680
1470,-1058,6716
1370,-1068,6838
1368,-1108,7004
1378,-1168,7004
1448,-1184,6800
1530,-1126,6782
1500,-1090,6770
1468,-1120,6812
1438,-1076,6782
1430,-1046,6876
1536,-1106,6796
1422,-1210,6826
1458,-1150,6910
1390,-1094,6916
1486,-1172,6778
1482,-1108,6812
1418,-1070,6810
1354,-1112,6900
1308,-1096,6920
1426,-1058,6916
1446,-1120,6840
1528,-1110,6842
1452,-1088,6986
1466,-1120,6846
1468,-1112,6730
1472,-1124,6728
1458,-1102,6882
1432,-1054,6854
1356,-1190,6646
1332,-1136,6766
1324,-1126,6718
1446,-1076,6978
1398,-1072,6896
1404,-1104,6924
1410,-1124,7022
1402,-1086,6762
1466,-1050,6656
1518,-1064,6760
1404,-1040,6826
1392,-1062,6916
1388,-1158,6928
1436,-1062,6838
1446,-1076,6944
1366,-1098,6952
1308,-1082,6942
1410,-1036,6832
1438,-1042,6756
1424,-1038,6666
1374,-1064,6786
1350,-1038,6878
1542,-1076,6976
1382,-1062,7044
1346,-1170,6942
1416,-1128,7026
1406,-982,6870
1332,-976,6836
1358,-946,6822
1392,-1016,6892
1356,-1028,6978
1330,-958,6812
1318,-906,6910
1368,-966,6998
1310,-1034,7058
1372,-998,6980
1392,-1022,6930
1432,-1006,6740
1472,-994,6642
1422,-926,6760
1396,-1028,6880
1360,-1038,6942
1478,-944,6924
1312,-986,6902
1318,-1036,6982
1374,-938,7008
1338,-922,6814
1358,-866,6890
1248,-948,7094
1318,-884,6890
1472,-982,6814
1382,-996,6900
1358,-998,7012
1352,-1012,6942
1400,-918,6844
1444,-886,6726
1458,-932,6728
1324,-928,6870
1332,-976,6936
1458,-982,7014
1468,-1044,6980
1400,-1000,6810
1436,-954,6870
1302,-912,6864
1354,-868,6948
1306,-862,6964
1248,-918,7032
1436,-954,6964
1378,-924,6784
1238,-900,7026
1348,-932,7034
1472,-1104,6822
1406,-1048,6808
1376,-912,6792
1360,-1038,6804
1478,-960,6924
1358,-984,6918
1304,-986,6910
1414,-930,6828
1378,-1030,6922
1290,-926,6928
1354,-952,6914
1388,-954,6876
1440,-976,6780
1404,-912,6816
1342,-934,6868
1378,-1066,6894
1350,-958,6976
1324,-888,6914
1316,-930,6904
1360,-940,6904
1374,-954,6882
1328,-986,6820
1350,-944,6854
1364,-972,6844
1446,-1018,6824
