ax,ay,az
332,198,6950
322,136,6928
368,218,6954
328,250,6936
280,190,6980
334,170,7016
350,228,6918
254,176,7032
258,202,6988
288,162,6988
338,228,7098
250,158,7038
266,216,7006
272,198,7042
300,222,6962
372,212,6932
340,236,6986
554,208,7092
208,450,6082
434,120,6586
636,196,6692
180,242,7458
-34,280,8108
-138,156,7620
186,-120,7362
452,-14,7238
638,-40,7016
718,172,7092
408,114,7166
340,336,7118
134,146,7242
134,202,7248
100,190,7208
170,216,7052
230,166,6968
342,178,6854
396,198,6950
446,242,6872
432,176,6864
440,258,6946
442,234,7000
360,214,7004
322,224,7014
328,188,7046
294,200,7034
286,202,7018
310,192,6986
250,194,7042
306,180,7008
318,188,6940
272,186,7020
300,186,7082
282,192,7020
288,158,7060
284,206,6976
322,156,7004
328,184,6962
368,210,7038
390,224,7050
306,230,6988
364,222,6992
370,174,7004
364,210,6988
390,180,7014
352,216,6964
308,192,7010
330,214,6990
354,204,7000
278,172,7044
316,206,7052
334,198,6964
238,180,6986
252,146,6964
318,188,6952
236,214,6982
332,180,7040
288,150,6942
258,202,6996
310,176,7066
296,190,6986
366,198,7004
326,180,6966
336,220,7016
330,154,6978
394,210,7020
356,180,6996
342,230,6980
342,160,7010
346,148,6984
310,188,6960
394,224,6932
348,184,6918
352,170,6994
304,206,6972
318,200,7030
320,204,6932
314,176,6976
338,212,6982
266,206,7008
272,204,7050
294,198,6988
304,242,6958
346,184,7032
288,128,7040
306,136,6968
290,166,7014
288,170,7034
330,184,7004
300,216,6972
388,244,6996
294,160,7002
310,210,7016
296,198,6984
332,226,6920
368,190,6938
390,228,6978
300,208,7038
334,196,6930
342,206,6938
320,222,6890
326,242,6952
322,196,7004
266,176,7004
370,242,6972
370,214,7014
318,188,6968
308,228,6986
306,214,6990
258,244,6958
258,224,7050
310,242,7016
298,158,6952
286,200,7020
262,252,7088
352,168,6986
316,228,7028
286,184,7004
324,204,6946
396,226,6942
328,210,6986
370,246,6976
326,196,6986
362,196,6986
338,226,6952
400,202,7028
290,184,6992
280,246,6966
352,214,7030
312,190,7024
300,244,6960
284,172,7030
372,238,7030
274,160,6894
332,202,7036
334,196,6944
332,184,7048
278,170,7014
296,146,7022
334,196,6996
352,242,7004
302,166,6962
288,230,6996
344,152,6998
346,216,6950
382,254,7032
356,204,6980
354,174,6948
390,184,6978
338,190,6968
278,196,6968
334,166,6970
326,196,6998
314,176,6968
336,220,6966
286,224,6946
280,188,7002
320,220,7068
212,202,7026
302,186,6942
318,160,6970
258,198,7004
332,230,7008
350,180,6944
338,218,6972
344,190,7000
382,198,7000
360,228,6962
376,216,6988
380,210,6986
292,178,6998
320,202,6980
354,204,6946
314,202,6994
322,168,6894
282,194,6932
298,200,7070
272,202,7122
328,184,7022
308,232,7010
306,182,7092
328,180,6928
330,188,6982
342,126,7034
330,190,7066
376,162,7058
352,218,6990
334,228,6946
412,194,6996
322,222,6944
390,208,7032
352,216,7000
382,182,6920
326,148,6988
296,192,6976
282,140,6956
312,182,6942
288,208,6968
264,160,6946
270,168,6922
292,190,6988
280,222,6938
318,200,7054
238,200,7042
270,190,7026
362,214,7032
386,154,6968
332,242,7052
302,204,6952
362,202,7024
386,200,6946
338,194,6942
360,186,6992
382,210,6960
338,208,6960
296,214,6996
326,190,7034
350,180,6966
344,210,6972
316,162,7004
346,186,6948
326,232,7074
266,182,6994
266,220,7080
292,228,6980
300,210,7038
362,206,7036
284,184,6992
360,166,6958
356,186,6996
350,204,6948
396,250,7072
348,190,7010
302,172,6986
356,198,6980
340,168,6980
358,194,6962
410,152,6918
338,218,6978
312,192,7016
338,210,7006
254,188,7082
290,170,7020
300,188,6990
288,166,6922
312,158,7046
316,206,7010
314,210,7010
296,216,7044
326,176,6978
344,202,6964
330,246,6990
346,228,7050
344,180,6958
364,180,7024
378,240,6918
362,202,7028
332,224,6922
316,180,6968
294,212,6944
276,164,7020
322,250,6968
334,164,7006
302,156,7010
368,190,7000
294,198,6990
248,184,7000
288,132,7044
292,222,7038
310,212,7016
338,156,7036
332,200,6974
352,210,6934
396,194,6962
344,170,7062
348,212,7000
388,236,7016
376,178,6964
344,190,7004
354,188,7034
282,194,6982
326,180,7042
368,190,6934
346,196,6966
294,176,6948
282,160,6978
320,164,6976
390,156,6950
382,192,6992
322,186,6942
322,220,7020
304,200,7084
322,272,7006
230,188,7018
288,208,7074
324,220,6946
330,160,6974
310,164,7040
396,236,6972
396,210,7054
374,200,6958
346,194,6966
372,188,6934
342,184,6986
282,194,6910
294,212,7036
274,210,6960
258,184,7012
240,208,7050
246,176,7090
226,186,6968
318,170,7022
308,218,7004
332,168,6924
